absolute,absolutely
plaĉi,to please
plaĉi,to be pleasing
plaĝo,beach
planko,floor
plej,most
plena,full
plendi,to complain
plezuro,pleasure
plezuro,enjoyment
pli,more
plori,to cry
plori,to weep
plu,further
plu,more
plumo,pen
pluvo,rain
popolo,people
popolo,nation
por,for
por,in order to
pordo,door
porti,to carry
post,after
post,behind
postuli,to demand
postuli,to require
povi,to be able
povi,to be able to
prava,right
prava,correct
precipa,main
precipa,principal
premi,to press
premi,to squeeze
preni,to take
preskaŭ,almost
preta,ready
preter,beyond
preter,past
prezenti,to present
pri,about
pri,concerning
printempo,spring
pro,because of
pro,by reason of
problemo,problem
profunda,deep
proksima,near
proksima,close
propra,own
provi,to try
provi,to test
punkto,point
punkto,period
pura,clean
pura,pure
rajto,a right
rakonti,to tell
rakonti,to narrate
rapida,quick
rapida,fast
regi,to rule
regi,to control
renkonti,to meet
respondi,to answer
resti,to remain
resti,to continue to be
resto,rest
resto,remainder
ricevi,to receive
riĉa,rich
ridi,to laugh
rigardi,to look
rimarki,to notice
rimedo,means
rimedo,resource
ripozi,to rest
rivero,river
robo,a dress
rompi,to break
rondo,round
rondo,circle
rozo,rose
ruĝa,red
s-ro,Mr.
sabato,Saturday
salti,to jump
saluti,to greet
sama,same
sana,healthy
sango,blood
sata,full
sata,not hungry
scii,to know
se,if
sed,but
seĝo,chair
seka,dry
sekvi,to follow
semajno,week
sen,without
sendi,to send
senti,to feel
sep,seven
septembro,September
serĉi,to look for
serĉi,to seek
servi,to serve
ses,six
sidi,to sit
silenti,to be silent
simpla,simple
sinjoro,mister
sinjoro,gentleman
skribi,to write
soifi,to be thirsty
sola,alone
solvi,to solve
somero,summer
soni,to sound
speco,kind
speco,sort
stacio,station
stari,to stand
stato,state
stato,condition
strato,street
studi,to study
sub,under
sub,beneath
suferi,to suffer
sufiĉa,sufficient
sufiĉa,enough
sukcesi,to succeed
sukero,sugar
suno,sun
super,over
super,above
supro,top
supro,summit
sur,on
sur,upon
ŝajni,to seem
ŝajni,to appear to be
ŝanĝi,to change
ŝati,to like
ŝati,to value
ŝi,she
ŝipo,ship
ŝtono,stone
tablo,table
tago,day
tagmanĝo,lunch
tajpi,to type
tamen,however
tamen,nevertheless
taso,cup
tasko,task
teo,tea
teatro,theater
tempo,time
teni,to hold
teni,to have
tero,earth
tero,ground
timi,to fear
tipo,type
tipo,sort
tiri,to pull
tra,through
tranĉi,to cut
trankvila,calm
trankvila,quiet
trans,across
trans,on the other side of
tre,very
tri,three
trinki,to drink
tro,too
tro,too much
trovi,to find
tuj,immediately
turni,to turn
tuŝi,to touch
tuta,whole
tuta,entire
unu,one
uono,wok
urbo,city
urbo,town
usono,United States of America
usono,USA
utila,useful
uzi,to use
ŭato,Watt
vagono,train waggon
vagono,carriage
valoro,value
varma,warm
varma,hot
veki,to awake
vekiĝi,to wake
veni,to come
vendi,to sell
vendredo,Friday
vento,wind
vera,true
vera,real
verda,green
vespero,evening
vesto,garment
vestaĵo,clothing
vetero,weather
veturi,to travel
vi,you
vidi,to see
vilaĝo,village
vino,wine
vintro,winter
viro,man
virino,woman
vitro,glass
vivi,to live
vivi,to be alive
vizaĝo,face
viziti,to visit
vojo,way
vojo,road
vojaĝi,to travel
vojaĝito,journey
voki,to call
voli,to want
vorto,word
vortaro,dictionary
vortaro,vocabulary
